Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C14,CL21B105KBFNNNE,C0805,90.75,-82.75,-90.0,top
C15,CC0603KRX7R9BB104,C0603,107.2,-74.5,180.0,top
C16,CC0603KRX7R9BB104,C0603,132.4486,-84.8902,0.0,top
C17,STC3MD20-T1,CAP-SMD_L4.5-W3.2_STC3MD20-T1,97.18,-99.73,0.0,top
C18,CC0603KRX7R9BB104,C0603,113.8,-100.0,180.0,top
C19,CL10C200JB8NNNC,C0603,117.0178,-96.7,90.0,top
C20,CL10C200JB8NNNC,C0603,120.68,-96.7,90.0,top
C21,CC0603KRX7R9BB104,C0603,131.134,-98.1952,180.0,top
C22,CL21B105KBFNNNE,C0805,97.75,-82.75,-90.0,top
C23,CC0603KRX7R9BB104,C0603,107.2,-76.5,180.0,top
C24,CC0603KRX7R9BB104,C0603,96.328,-91.7448,0.0,top
C25,CC0603KRX7R9BB104,C0603,100.997,-95.43,90.0,top
C26,CC0603KRX7R9BB104,C0603,113.1428,-89.418,0.0,top
C27,CC0603KRX7R9BB104,C0603,113.1428,-80.291,0.0,top
C28,CC0603KRX7R9BB104,C0603,124.7,-80.281,180.0,top
C29,CC0603KRX7R9BB104,C0603,124.7,-89.408,180.0,top
C30,CC0603KRX7R9BB104,C0603,117.032,-64.77,0.0,top
D1,1N4148W_C81598,SOD-123F_L2.7-W1.6-LS3.8-RD,155.8544,-84.201,180.0,top
K1,G6K-2F-Y-DC5,RELAY-SMD_G6K-2F-X-XX,153.0398,-77.4346,90.0,top
LED3,0805G,LED0805-R-RD,121.75,-73.55,90.0,top
LED4,FC-2012HRK-620D,LED0805-RD,116.75,-73.6,90.0,top
Q1,2N7002,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,149.9228,-84.9092,270.0,top
R1,0603WAF1000T5E,R0603,146.1728,-85.9642,0.0,top
R11,0603WAF1002T5E,R0603,131.184,-96.4452,0.0,top
R12,0603WAF1001T5E,R0603,100.75,-74.75,180.0,top
R13,0603WAF1003T5E,R0603,100.75,-73.0,0.0,top
R14,0603WAF1003T5E,R0603,100.75,-78.25,0.0,top
R15,0603WAF1001T5E,R0603,100.75,-76.5,0.0,top
R16,0603WAF5101T5E,R0603,83.75,-95.25,180.0,top
R17,0603WAF5101T5E,R0603,83.75,-80.5,180.0,top
R18,0603WAF1001T5E,R0603,117.995,-77.7494,0.0,top
R19,0603WAF1002T5E,R0603,102.997,-95.44,90.0,top
R20,0603WAF1001T5E,R0603,101.75,-84.25,90.0,top
R21,0603WAF1001T5E,R0603,121.75,-69.5,90.0,top
R22,0603WAF1003T5E,R0603,149.9228,-88.2142,180.0,top
R23,0603WAF5101T5E,R0603,141.224,-90.539,-90.0,top
R24,0603WAF1001T5E,R0603,116.75,-69.5,90.0,top
R25,0603WAF5101T5E,R0603,141.224,-83.07,90.0,top
SW3,TS-1088-AR02016,SW-SMD_L3.9-W3.0-P4.45,127.254,-98.7552,90.0,top
SW4,DSHP02TS-S,SW-SMD_DSHP02TS-S,95.0,-75.75,0.0,top
U1,XC6206P332MR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,94.25,-85.0,0.0,top
U10,BAT54C_C22466350,SOT-23-3_L2.9-W1.3-P1.90-LS2.8-BR,111.18,-96.86,90.0,top
U11,CR2032-BS-6,BAT-TH_CR2032-BS-6-1,111.76,-115.824,0.0,top
U2,H3V3U10B,DFN1006-2L-BI,90.0,-87.884,90.0,top
U3,STM32F103C8T6,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,119.0,-84.75,0.0,top
U7,CP2102-GMR,WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2,102.4342,-90.0,-90.0,top
U8,SHT30-DIS-B,DFN-8_L2.5-W2.5-P0.50-BL-EP,136.1486,-85.6402,90.0,top
U9,"PCF8563T/5,518",SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,107.39,-102.095,270.0,top
USB2,TYPE-C 16PIN 2MD,USB-C-SMD_TYPE-C-6PIN-2MD-073,84.205,-87.68,-90.0,top
X2,X50328MSB2GI,CRYSTAL-SMD_L5.0-W3.2,119.0,-93.0656,180.0,top
X3,Q13FC1350000400,FC-135R_L3.2-W1.5,101.43,-101.0,90.0,top
